datetime,/FS5/7200/SDH.SW.MSA.ATS-ES.PEAK DEMAND/1098/presentValue,/FS5/7200/SDH.SW.MSA.MS41B.PEAK DEMAND/1093/presentValue,/FS5/7200/SDH.SW.MSA.CD4RA.PWR REAL 3 P/1110/presentValue,/FS5/7200/SDH.SW.MSA.ATS-ES.PWR REAL 3 P/1114/presentValue,/FS5/7200/SDH.SW.MSB.MS41A.PEAK DEMAND/1106/presentValue,/FS5/7200/SDH.SW.MSB.ATS-EL.PEAK DEMAND/1103/presentValue,/FS5/7200/SDH.SW.MSA.MSB.TIE.PWR REAL 3P/892/presentValue,/FS5/7200/SDH.SW.MSB.MAIN.PEAK DEMAND/1104/presentValue,/FS5/7200/SDH.SW.MSA.CD4RA.PEAK DEMAND/1094/presentValue,/FS5/7200/SDH.SW.MSA.MS41A.PWR REAL 3 P/1108/presentValue,/FS5/7200/SDH.SW.MSA.CH-2.PEAK DEMAND/1096/presentValue,/FS5/7200/SDH.SW.MSA.MDC.PWR REAL 3 P/1115/presentValue,/FS5/7200/SDH.SW.MSA.ATS-E2.PWR REAL 3 P/1117/presentValue,/FS5/7200/SDH.SW.MSB.MS41B.PWR REAL 3 P/28/presentValue,/FS5/7200/SDH.SW.MSB.ATS-E2.PEAK DEMAND/1101/presentValue,/FS5/7200/SDH.SW.MSA.MSB.PEAK DEMAND/1100/presentValue,/FS5/7200/SDH.SW.MSA.MAIN.PEAK DEMAND/1091/presentValue,/FS5/7200/SDH.SW.MSA.MAIN.PWR REAL 3 P/1107/presentValue,/FS5/7200/SDH.SW.MSA.MSB.PWR REAL 3 P/1116/presentValue,/FS5/7200/SDH.SW.MSB.ATS-EL.PWR REAL 3 P/1119/presentValue,/FS5/7200/SDH.SW.MSB.CB4A.PEAK DEMAND/1102/presentValue,/FS5/7200/SDH.SW.MSA.ATS-E1.PWR REAL 3 P/1113/presentValue,/FS5/7200/SDH.SW.MSA.MSB.TIE.PEAK DEMAND/883/presentValue,/FS5/7200/SDH.SW.MSB.CB4A.PWR REAL 3 P/1118/presentValue,/FS5/7200/SDH.SW.MSB.MS41B.PEAK DEMAND/1105/presentValue,/FS5/7200/SDH.SW.MSA.CD41A.PEAK DEMAND/1095/presentValue,/FS5/7200/SDH.SW.MSA.CH-2.PWR REAL 3 P/1112/presentValue,/FS5/7200/SDH.SW.MSB.ATS-E02.REAL 3 PH/23/presentValue,/FS5/7200/SDH.SW.MSA.MDC.PEAK DEMAND/1099/presentValue,/FS5/7200/SDH.SW.MSA.ATS-E1.PEAK DEMAND/1097/presentValue,/FS5/7200/SDH.SW.MSA.MS41B.PWR REAL 3 P/1109/presentValue,/FS5/7200/SDH.SW.MSA.MS41A.PEAK DEMAND/1092/presentValue,/FS5/7200/SDH.SW.MSB.ATS-E02.PEAK DEMAND/880/presentValue,/FS5/7200/SDH.SW.MSA.CD41A.PWR REAL 3 P/1111/presentValue,/FS5/7200/SDH.SW.MSB.MS41A.PWR REAL 3 P/1121/presentValue,/FS5/7200/SDH.SW.MSB.MAIN.PWR REAL 3 P/1120/presentValue
5/16/22 17:30,72999,0,30999,24999,0,109999,0,385999,52999,359999,259999,27999,34999,135999,33999,0,834999,582999,0,104999,75999,165999,0,46999,198999,61999,999,34999,39999,175999,0,407999,33999,31999,0,331999
5/16/22 17:45,72999,0,32999,22999,0,109999,0,385999,52999,346999,259999,28999,33999,129999,33999,0,834999,590999,0,99999,75999,158999,0,50999,198999,61999,0,34999,39999,175999,0,407999,33999,35999,0,321999
5/16/22 18:00,72999,0,32999,23999,0,109999,0,385999,52999,351999,259999,29999,28999,130999,33999,0,834999,579999,0,97999,75999,157999,0,50999,198999,61999,999,28999,39999,175999,0,407999,33999,30999,0,315999
5/16/22 18:15,72999,0,31999,21999,0,109999,0,385999,52999,356999,259999,29999,28999,137999,33999,0,834999,590999,0,97999,75999,157999,0,45999,198999,61999,999,28999,39999,175999,0,407999,33999,33999,0,319999
5/16/22 18:30,72999,0,32999,21999,0,109999,0,385999,52999,355999,259999,28999,33999,136999,33999,0,834999,576999,0,100999,75999,176999,0,45999,198999,61999,0,28999,39999,175999,0,407999,33999,30999,0,315999
5/16/22 18:45,72999,0,31999,20999,0,109999,0,385999,52999,349999,259999,28999,28999,135999,33999,0,834999,575999,0,106999,75999,156999,0,45999,198999,61999,999,34999,39999,175999,0,407999,33999,34999,0,325999
5/16/22 19:00,72999,0,32999,25999,0,109999,0,385999,52999,348999,259999,28999,28999,137999,33999,0,834999,573999,0,99999,75999,157999,0,46999,198999,61999,0,28999,39999,175999,0,407999,33999,30999,0,320999
5/16/22 19:15,72999,0,30999,21999,0,109999,0,385999,52999,356999,259999,28999,34999,136999,33999,0,834999,584999,0,101999,75999,156999,0,42999,198999,61999,1999,28999,39999,175999,0,407999,33999,30999,0,323999
5/16/22 19:30,72999,0,33999,19999,0,109999,0,385999,52999,355999,259999,28999,39999,136999,33999,0,834999,580999,0,97999,75999,157999,0,42999,198999,61999,999,40999,39999,175999,0,407999,33999,30999,0,329999
5/16/22 19:45,72999,0,29999,18999,0,109999,0,385999,52999,344999,259999,28999,28999,138999,33999,0,834999,574999,0,99999,75999,158999,0,44999,198999,61999,999,34999,39999,175999,0,407999,33999,34999,0,320999
5/16/22 20:00,72999,0,27999,21999,0,109999,0,385999,52999,350999,259999,29999,28999,119999,33999,0,834999,579999,0,103999,75999,157999,0,32999,198999,61999,0,29999,39999,175999,0,407999,33999,34999,0,307999
5/16/22 20:15,72999,0,26999,19999,0,109999,0,385999,52999,359999,259999,28999,34999,130999,33999,0,834999,571999,0,101999,75999,157999,0,31999,198999,61999,999,28999,39999,175999,0,407999,33999,29999,0,314999
5/16/22 20:30,72999,0,26999,19999,0,109999,0,385999,52999,349999,259999,29999,34999,129999,33999,0,834999,569999,0,97999,75999,154999,0,29999,198999,61999,0,34999,39999,175999,0,407999,33999,30999,0,300999
5/16/22 20:45,72999,0,26999,19999,0,109999,0,385999,52999,349999,259999,28999,28999,130999,33999,0,834999,567999,0,105999,75999,156999,0,31999,198999,61999,1999,28999,39999,175999,0,407999,33999,34999,0,291999
5/16/22 21:00,72999,0,25999,19999,0,109999,0,385999,52999,336999,259999,28999,28999,128999,33999,0,834999,560999,0,96999,75999,156999,0,30999,198999,61999,0,28999,39999,175999,0,407999,33999,34999,0,311999
