station_code,datetime_UTC,t_out,rh_out,dew_point,wind_s,lat,long,time_zone
724950-23254,2023-01-01T00:00:00Z,10.6,92.36899133097701,9.4,5.7,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T01:00:00Z,11.1,86.45112891638526,8.9,5.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T02:00:00Z,11.1,86.45112891638526,8.9,6.2,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T03:00:00Z,12.2,74.71635181771758,7.8,6.7,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T04:00:00Z,11.7,77.19990663828392,7.8,2.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T05:00:00Z,11.7,71.65564690034176,6.7,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T06:00:00Z,11.1,77.11007585804657,7.2,2.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T07:00:00Z,10.85,83.06363426193646,8.05,1.8,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T08:00:00Z,10.3,87.56217972353275,8.3,1.8,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T09:00:00Z,9.4,86.28993197630354,7.2,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T10:00:00Z,7.8,96.03750892089798,7.2,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T11:00:00Z,8.3,89.77498861210576,6.7,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T12:00:00Z,8.9,80.00646214590232,5.6,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T13:00:00Z,8.9,80.00646214590232,5.6,3.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T14:00:00Z,7.8,79.30565435884664,4.4,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T15:00:00Z,6.1,88.994097058372,4.4,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T16:00:00Z,8.3,83.28740523281827,5.6,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T17:00:00Z,11.1,66.33975334531425,5,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T18:00:00Z,13.9,49.07507250373152,3.3,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T19:00:00Z,14.4,47.511780244537974,3.3,4.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T20:00:00Z,15.6,42.45528196045946,2.8,4.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T21:00:00Z,16.7,35.05634703241023,1.1,5.7,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T22:00:00Z,16.7,36.59521500419777,1.7,5.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-01T23:00:00Z,15.6,40.68871536128621,2.2,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T00:00:00Z,13.9,37.13842248822306,-0.6,4.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T01:00:00Z,12.2,43.352582843871275,0,4.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T02:00:00Z,10.6,50.31428033140647,0.6,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T03:00:00Z,10.6,44.49695963406769,-1.1,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T04:00:00Z,7.8,62.90674165417186,1.1,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T05:00:00Z,6.7,70.73112468904054,1.7,3.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T06:00:00Z,5.6,76.25264105032196,1.7,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T07:00:00Z,6.1,73.68624099501271,1.7,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T08:00:00Z,6.7,67.7826319738978,1.1,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T09:00:00Z,4.4,82.82220808751684,1.7,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T10:00:00Z,5,79.46282705498791,1.7,4.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T11:00:00Z,5,79.46282705498791,1.7,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T12:00:00Z,5.6,73.07701202629224,1.1,2.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T13:00:00Z,5.6,73.07701202629224,1.1,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T14:00:00Z,5.6,76.25264105032196,1.7,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T15:00:00Z,6.1,70.61616100976107,1.1,4.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T16:00:00Z,6.7,70.73112468904054,1.7,2.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T17:00:00Z,7.8,65.64586697600234,1.7,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T18:00:00Z,8.3,68.58884295029924,2.8,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T19:00:00Z,8.9,71.14515692324511,3.9,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T20:00:00Z,8.3,76.68139352415974,4.4,2.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T21:00:00Z,8.9,73.65753568913728,4.4,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T22:00:00Z,8.3,79.92469825269929,5,3.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-02T23:00:00Z,7.8,86.13468063384016,5.6,2.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-03T00:00:00Z,7.2,92.80950947686792,6.1,3.6,37.978,-122.0311,America/Los_Angeles
