season,date,weekday,strategy
1,2024-01-15,Mon,2
1,2024-01-16,Tue,2
1,2024-01-17,Wed,1
1,2024-01-18,Thu,2
1,2024-01-19,Fri,2
1,2024-01-20,Sat,1
1,2024-01-21,Sun,2
1,2024-01-22,Mon,2
1,2024-01-23,Tue,2
1,2024-01-24,Wed,1
1,2024-01-25,Thu,2
1,2024-01-26,Fri,1
1,2024-01-27,Sat,2
1,2024-01-28,Sun,2
1,2024-01-29,Mon,1
1,2024-01-30,Tue,1
1,2024-01-31,Wed,2
1,2024-02-01,Thu,1
1,2024-02-02,Fri,2
1,2024-02-03,Sat,1
1,2024-02-04,Sun,1
1,2024-02-05,Mon,1
1,2024-02-06,Tue,1
1,2024-02-07,Wed,2
1,2024-02-08,Thu,1
1,2024-02-09,Fri,1
1,2024-02-10,Sat,1
1,2024-02-11,Sun,2
1,2024-02-12,Mon,2
1,2024-02-13,Tue,1
1,2024-02-14,Wed,2
1,2024-02-15,Thu,1
1,2024-02-16,Fri,2
1,2024-02-17,Sat,2
1,2024-02-18,Sun,1
1,2024-02-19,Mon,2
1,2024-02-20,Tue,2
1,2024-02-21,Wed,1
1,2024-02-22,Thu,2
1,2024-02-23,Fri,1
1,2024-02-24,Sat,1
1,2024-02-25,Sun,1
1,2024-02-26,Mon,2
1,2024-02-27,Tue,2
1,2024-02-28,Wed,2
1,2024-02-29,Thu,1
1,2024-03-01,Fri,1
1,2024-03-02,Sat,1
1,2024-03-03,Sun,2
1,2024-03-04,Mon,1
1,2024-03-05,Tue,1
1,2024-03-06,Wed,2
1,2024-03-07,Thu,2
1,2024-03-08,Fri,1
1,2024-03-09,Sat,2
1,2024-03-10,Sun,1
