datetime,MSB.MS41A,MSA.MS41B,MSA.MSB,MSB.CB4A,MSA.MS41A,MSA.ATS-E1,MSB.MAIN,MSA.CD41A,MSA.ATS-ES,MSA.CD4RA,MSA.ATS-E2,MSB.MS41B,MSB.ATS-E02,MSA.MDC,MSB.ATS-EL,MSA.MAIN,MSA.MSB.TIE,MSA.CH-2
9/6/12 0:00,0,0,0,46999,333999,169999,330999,25999,27999,38999,26999,129999,26999,26999,109999,596999,0,0
9/6/12 0:15,0,0,0,50999,325999,164999,320999,22999,27999,40999,26999,131999,26999,27999,110999,582999,0,0
9/6/12 0:30,0,0,0,48999,331999,165999,329999,29999,28999,41999,25999,109999,25999,27999,107999,594999,0,0
9/6/12 0:45,0,0,0,48999,331999,163999,316999,20999,27999,41999,26999,113999,26999,27999,122999,595999,0,0
9/6/12 1:00,0,0,0,45999,336999,163999,321999,21999,27999,40999,26999,131999,26999,27999,111999,585999,0,0
9/6/12 1:15,0,0,0,47999,337999,177999,304999,28999,29999,40999,25999,127999,25999,26999,107999,606999,0,0
9/6/12 1:30,0,0,0,40999,332999,165999,313999,23999,27999,39999,26999,109999,26999,27999,105999,595999,0,0
9/6/12 1:45,0,0,0,41999,331999,164999,300999,25999,28999,40999,27999,129999,27999,26999,110999,593999,0,0
9/6/12 2:00,0,0,0,39999,337999,165999,314999,21999,17999,43999,26999,130999,26999,26999,107999,590999,0,0
9/6/12 2:15,0,0,0,40999,339999,164999,306999,25999,18999,38999,26999,130999,26999,26999,103999,585999,0,0
9/6/12 2:30,0,0,0,39999,332999,164999,319999,26999,28999,38999,26999,130999,26999,27999,110999,600999,0,0
9/6/12 2:45,0,0,0,39999,334999,164999,325999,24999,35999,37999,26999,132999,26999,26999,120999,594999,0,0
9/6/12 3:00,0,0,0,40999,331999,166999,313999,21999,28999,40999,26999,132999,26999,27999,111999,587999,0,0
9/6/12 3:15,0,0,0,39999,335999,165999,316999,28999,27999,40999,25999,130999,25999,27999,112999,599999,0,999
9/6/12 3:30,0,0,0,40999,334999,164999,314999,21999,28999,38999,26999,131999,26999,28999,103999,599999,0,0
9/6/12 3:45,0,0,0,36999,330999,166999,322999,30999,36999,39999,26999,131999,26999,27999,118999,601999,0,0
9/6/12 4:00,0,0,0,38999,328999,164999,312999,22999,27999,39999,26999,130999,26999,26999,111999,587999,0,0
9/6/12 4:15,0,0,0,35999,330999,163999,312999,24999,28999,38999,26999,131999,26999,26999,109999,592999,0,0
9/6/12 4:30,0,0,0,36999,329999,163999,307999,26999,16999,39999,26999,129999,26999,27999,108999,589999,0,0
9/6/12 4:45,0,0,0,34999,328999,164999,315999,24999,27999,39999,26999,132999,26999,27999,114999,593999,0,999
9/6/12 5:00,0,0,0,37999,326999,165999,321999,21999,28999,42999,26999,110999,26999,27999,115999,592999,0,999
9/6/12 5:15,0,0,0,47999,329999,165999,329999,29999,28999,40999,26999,117999,26999,27999,115999,581999,0,0
9/6/12 5:30,0,0,0,45999,322999,164999,301999,22999,19999,42999,26999,131999,26999,27999,113999,572999,0,0
9/6/12 5:45,0,0,0,47999,331999,163999,308999,27999,27999,41999,26999,116999,26999,26999,111999,592999,0,999
9/6/12 6:00,0,0,0,68999,326999,165999,341999,22999,36999,39999,25999,134999,25999,27999,113999,591999,0,0
9/6/12 6:15,0,0,0,63999,326999,165999,348999,25999,27999,41999,26999,109999,26999,27999,115999,571999,0,0
9/6/12 6:30,0,0,0,55999,326999,164999,327999,27999,38999,40999,26999,130999,26999,27999,110999,587999,0,0
9/6/12 6:45,0,0,0,61999,324999,165999,328999,22999,27999,39999,26999,130999,26999,26999,105999,580999,0,0
9/6/12 7:00,0,0,0,55999,327999,165999,308999,25999,34999,39999,26999,111999,26999,26999,108999,585999,0,0
9/6/12 7:15,0,0,0,72999,324999,164999,345999,25999,28999,38999,26999,130999,26999,26999,109999,600999,0,0
9/6/12 7:30,0,0,0,70999,331999,161999,347999,23999,28999,39999,26999,130999,26999,26999,114999,593999,0,0
9/6/12 7:45,0,0,0,76999,323999,162999,333999,29999,32999,37999,25999,113999,25999,27999,111999,585999,0,0
9/6/12 8:00,0,0,0,85999,330999,164999,366999,23999,26999,38999,24999,131999,24999,27999,110999,589999,0,0
9/6/12 8:15,0,0,0,79999,329999,169999,354999,25999,29999,41999,25999,131999,25999,28999,108999,594999,0,0
9/6/12 8:30,0,0,0,78999,331999,164999,346999,33999,27999,40999,25999,130999,25999,28999,117999,599999,0,0
9/6/12 8:45,0,0,0,85999,328999,166999,342999,28999,28999,42999,25999,128999,25999,27999,117999,595999,0,999
9/6/12 9:00,0,0,0,103999,324999,166999,345999,30999,32999,39999,25999,110999,25999,27999,113999,597999,0,0
9/6/12 9:15,0,0,0,98999,328999,164999,373999,28999,28999,42999,25999,132999,25999,26999,107999,596999,0,999
9/6/12 9:30,0,0,0,95999,335999,166999,348999,30999,33999,41999,26999,111999,26999,27999,105999,618999,0,0
9/6/12 9:45,0,0,0,86999,333999,167999,347999,28999,28999,43999,26999,109999,26999,26999,112999,596999,0,0
9/6/12 10:00,0,0,0,96999,327999,165999,366999,30999,26999,42999,25999,114999,25999,27999,115999,592999,0,0
9/6/12 10:15,0,0,0,96999,346999,167999,367999,27999,32999,43999,26999,130999,26999,27999,117999,611999,0,0
9/6/12 10:30,0,0,0,101999,338999,165999,374999,30999,43999,42999,26999,133999,26999,27999,108999,603999,0,0
9/6/12 10:45,0,0,0,92999,336999,167999,367999,32999,27999,44999,25999,131999,25999,28999,107999,607999,0,0
9/6/12 11:00,0,0,0,113999,340999,168999,382999,29999,34999,42999,26999,111999,26999,27999,110999,611999,0,0
9/6/12 11:15,0,0,0,122999,335999,169999,403999,23999,28999,46999,25999,132999,25999,27999,109999,616999,0,0
9/6/12 11:30,0,0,0,96999,342999,180999,376999,27999,31999,41999,26999,132999,26999,27999,110999,622999,0,0
9/6/12 11:45,0,0,0,107999,333999,168999,370999,29999,47999,44999,25999,132999,25999,27999,103999,604999,0,999
9/6/12 12:00,0,0,0,106999,325999,166999,381999,23999,35999,45999,25999,133999,25999,28999,109999,610999,0,999
9/6/12 12:15,0,0,0,116999,350999,166999,397999,27999,31999,44999,25999,131999,25999,27999,110999,620999,0,0
9/6/12 12:30,0,0,0,102999,334999,168999,375999,27999,20999,49999,26999,131999,26999,27999,105999,598999,0,0
9/6/12 12:45,0,0,0,119999,340999,169999,383999,30999,39999,46999,24999,131999,24999,27999,108999,627999,0,999
9/6/12 13:00,0,0,0,105999,330999,170999,399999,29999,45999,47999,25999,138999,25999,27999,118999,618999,0,0
9/6/12 13:15,0,0,0,100999,333999,169999,380999,27999,31999,47999,25999,137999,25999,27999,101999,621999,0,0
9/6/12 13:30,0,0,0,113999,350999,167999,384999,29999,37999,47999,25999,136999,25999,27999,113999,629999,0,999
9/6/12 13:45,0,0,0,104999,341999,168999,376999,23999,38999,48999,25999,131999,25999,27999,112999,616999,0,0
9/6/12 14:00,0,0,0,107999,330999,156999,369999,34999,37999,48999,26999,131999,26999,28999,108999,612999,0,0
9/6/12 14:15,0,0,0,104999,336999,158999,392999,28999,43999,48999,26999,129999,26999,28999,114999,604999,0,0
9/6/12 14:30,0,0,0,102999,340999,192999,360999,30999,43999,49999,26999,112999,26999,27999,111999,604999,0,999
9/6/12 14:45,0,0,0,110999,340999,172999,380999,34999,30999,49999,26999,111999,26999,28999,105999,617999,0,999
9/6/12 15:00,0,0,0,102999,326999,182999,379999,29999,32999,47999,25999,132999,25999,26999,112999,622999,0,0
9/6/12 15:15,0,0,0,105999,332999,170999,362999,38999,34999,51999,24999,119999,24999,26999,112999,627999,0,0
9/6/12 15:30,0,0,0,101999,343999,183999,383999,31999,38999,49999,25999,132999,25999,26999,101999,613999,0,0
9/6/12 15:45,0,0,0,112999,340999,168999,386999,29999,38999,49999,23999,136999,23999,27999,107999,633999,0,0
9/6/12 16:00,0,0,0,107999,336999,167999,371999,27999,38999,48999,25999,117999,25999,26999,109999,628999,0,0
9/6/12 16:15,0,0,0,104999,333999,169999,388999,31999,34999,49999,25999,138999,25999,27999,114999,646999,0,0
9/6/12 16:30,0,0,0,113999,352999,199999,359999,35999,29999,51999,23999,110999,23999,27999,109999,651999,0,999
9/6/12 16:45,0,0,0,108999,335999,175999,382999,29999,24999,49999,25999,130999,25999,27999,108999,624999,0,0
